Pattern: *dot_issue*
  cpu_inst/dot_chain_accumulator_reg_reg[18] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[18]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[19] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[19]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[1] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[1]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[20] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[20]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[21] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[21]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[22] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[22]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[23] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[23]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[24] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[24]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[25] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[25]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[26] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[26]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[27] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[27]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[28] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[28]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[29] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[29]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[2] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[2]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[30] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[30]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[31] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[31]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[3] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[3]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[4] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[4]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[5] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[5]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[6] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[6]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[7] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[7]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[8] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[8]/Q
  cpu_inst/dot_chain_accumulator_reg_reg[9] | flat_pin_count=3 | driver=cpu_inst/dot_chain_accumulator_reg_reg[9]/Q
  cpu_inst/dot_chain_continuation | flat_pin_count=2 | driver=cpu_inst/dot_issue_reg[chain_continue]_i_1/O
  cpu_inst/dot_chain_open_reg_reg_n_0 | flat_pin_count=2 | driver=cpu_inst/dot_chain_open_reg_reg/Q
  cpu_inst/dot_chain_rd_reg[0] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[0]/Q
  cpu_inst/dot_chain_rd_reg[1] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[1]/Q
  cpu_inst/dot_chain_rd_reg[2] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[2]/Q
  cpu_inst/dot_chain_rd_reg[3] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[3]/Q
  cpu_inst/dot_chain_rd_reg[4] | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg_reg[4]/Q
  cpu_inst/dot_chain_rd_reg[4]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot_chain_rd_reg[4]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_4/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_5_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_5/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_6_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[0]_i_6/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_2_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_2/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_3_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_3/O
  cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_4_n_0 | flat_pin_count=2 | driver=cpu_inst/dot4acc_pipeline_inst/dot_chain_accumulator_reg[12]_i_4/O
